2024-06-22 09:36:08 - INFO - Starting GID assignment
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: ALYREF: 10189
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: AQR: 9716
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: ARCN1: 372
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: BRIX1: 55299
2024-06-22 09:36:35 - INFO - ALIAS MATCH: C12orf66: 144577
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CCT3: 7203
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CCT4: 10575
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CCT6A: 908
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CCT7: 10574
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CCT8: 10694
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CDC40: 51362
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CDC5L: 988
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CDK17: 5128
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CHD4: 1108
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CHMP2A: 27243
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CLTC: 1213
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPA: 1314
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPB1: 1315
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPS2: 9318
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPS4: 51138
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPS6: 10980
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPS8: 10920
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: COPZ1: 22818
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CSE1L: 1434
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: CTDNEP1: 23399
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DDB1: 1642
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DDX18: 8886
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DDX46: 9879
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DDX49: 54555
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DDX51: 317781
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DNM2: 1785
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DYNC1H1: 1778
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: DYNC1I2: 1781
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EEF2: 1938
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EFTUD2: 9343
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF1AX: 1964
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF2B4: 8890
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF2S2: 8894
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3A: 8661
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3B: 8662
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3C: 8663
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3D: 8664
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3F: 8665
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3G: 8666
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF3I: 8668
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF4A3: 9775
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EIF5B: 9669
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: ERH: 2079
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: ETF1: 2107
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: EXOSC10: 5394
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: FTSJ3: 117246
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: GAR1: 54433
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: GNL3: 26354
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: GTF3C4: 9329
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HAUS7: 55559
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HEATR1: 55127
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HNRNPC: 3183
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HNRNPK: 3190
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HNRNPM: 4670
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HNRNPU: 3192
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HSPA9: 3313
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: HSPE1: 3336
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: INTS9: 55756
2024-06-22 09:36:35 - INFO - ALIAS MATCH: KARS: 3735
